date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:59	20668/20668	---M--	200	added ('OK')	image/png	etag:zXnHwaPE-NOiOfR9oklsgvvB1NR-ZSQkMDfJk5L4sZ4=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Flocation%2FIllustrations_-_Why_Study_in_UK_Consultants_in_Mumbai-01.png&w=1080&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Illustrations_-_Why_Study_in_UK_Consultants_in_Mumbai-016596.png	(from https://www.uscholars.in/study-abroad-consultant-vadodara)
10:24:59	9690/9690	---M--	200	added ('OK')	image/png	etag:kzFzICtdTfUJ9O4nA9DU0Qcj6FI6ndLc0lZQM7zAE1w=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Flocation%2FIllustrations_-_Why_Study_in_UK_Consultants_in_Mumbai-03.png&w=1080&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Illustrations_-_Why_Study_in_UK_Consultants_in_Mumbai-03669d.png	(from https://www.uscholars.in/study-abroad-consultant-vadodara)
10:25:01	46823/46823	---M--	200	added ('OK')	image/png	etag:ygvQPon3xUdKyTqxmrkWmc1R47TuQvTon59bhQAWdEk=	https://www.uscholars.in/_next/image?url=%2Fimages%2Foffice%2Fmap-vadodara.png&w=1200&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/map-vadodara13c9.png	(from https://www.uscholars.in/study-abroad-consultant-vadodara)
10:25:01	8063/8063	---MCZ	200	added ('OK')	text/css	etag:W/%221f7f-18930847b40%22	https://www.uscholars.in/_next/static/css/cae601b49f41a716.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/cae601b49f41a716.css	(from https://www.uscholars.in/contact-us)
10:25:01	20169/20169	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ec9-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/contact-us-6f3e4828cc523133.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/contact-us-6f3e4828cc523133.js	(from https://www.uscholars.in/contact-us)
10:25:03	1559/1559	---MCZ	200	added ('OK')	text/css	etag:W/%22617-18930847b40%22	https://www.uscholars.in/_next/static/css/b2c9260ab07a0d50.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/b2c9260ab07a0d50.css	(from https://www.uscholars.in/about-us)
10:25:03	1428157/1428157	---M--	200	added ('OK')	image/jpeg	etag:8HrVSZyTJNfdcYEpXpETuo69AJZHZbXLBT3Mh53fYd0=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fcontact_us_page%2Fbanner_image%2Fservice_hero.jpeg&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/service_hero2841.jpeg	(from https://www.uscholars.in/contact-us)
10:25:03	7765/7765	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e55-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/about-us-cd5168844d462eeb.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/about-us-cd5168844d462eeb.js	(from https://www.uscholars.in/about-us)
10:25:04	1114/1114	---MCZ	200	added ('OK')	text/css	etag:W/%2245a-18930847b40%22	https://www.uscholars.in/_next/static/css/ea8d16df0760f4b4.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/ea8d16df0760f4b4.css	(from https://www.uscholars.in/enquiry)
10:25:06	10536/10536	---MCZ	200	added ('OK')	application/javascript	etag:W/%222928-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/enquiry-c19d6ed1acd5ffa7.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/enquiry-c19d6ed1acd5ffa7.js	(from https://www.uscholars.in/enquiry)
10:25:06	8264/8264	---MCZ	200	added ('OK')	text/css	etag:W/%222048-18930847b40%22	https://www.uscholars.in/_next/static/css/5e29b29b5d6e0ba0.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/5e29b29b5d6e0ba0.css	(from https://www.uscholars.in/uk-student-scholarships)
10:25:06	10509/10509	---MCZ	200	added ('OK')	application/javascript	etag:W/%22290d-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/uk-student-scholarships-639a96c4b99d866e.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/uk-student-scholarships-639a96c4b99d866e.js	(from https://www.uscholars.in/uk-student-scholarships)
